,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,Game ID,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Implied Points,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,FGM,FGA,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,XPM,XPA,Pnt,Yds,Y/P
29679,Ka'imi Fairbairn,K,2017,6,HOU,CLE,10/15/2017,201710150htx,H,,33,17,-7.5,46,26.75,-16,retractable roof (closed),astroturf,indoors,,,1,1,0,0,0,1,0,2,3,0,0,
29680,Robbie Gould,K,2017,6,SFO,WAS,10/15/2017,201710150was,A,,24,26,12,46,17,2,outdoors,grass ,"68 degrees, wind 4 mph",68,4,1,2,0,0,0,0,1,3,3,0,0,
29681,Dustin Hopkins,K,2017,6,WAS,SFO,10/15/2017,201710150was,H,,26,24,-12,46,29,-2,outdoors,grass ,"68 degrees, wind 4 mph",68,4,2,2,0,1,0,1,0,2,3,0,0,
29682,Cody Parkey,K,2017,6,MIA,ATL,10/15/2017,201710150atl,A,,20,17,14,46,16,-3,dome,fieldturf,indoors,,,2,2,0,0,1,1,0,2,2,0,0,
29683,Matt Bryant,K,2017,6,ATL,MIA,10/15/2017,201710150atl,H,,17,20,-14,46,30,3,dome,fieldturf,indoors,,,1,2,0,0,0,0,1,2,2,0,0,
29684,Greg Zuerlein,K,2017,6,LAR,JAX,10/15/2017,201710150jax,A,,27,17,1,42,20.5,-10,outdoors,grass ,"88 degrees, wind 10 mph",88,10,2,2,0,1,0,0,1,3,3,0,0,
29685,Jason Myers,K,2017,6,JAX,LAR,10/15/2017,201710150jax,H,,17,27,-1,42,21.5,10,outdoors,grass ,"88 degrees, wind 10 mph",88,10,1,3,0,0,0,1,0,2,2,0,0,
29686,Phil Dawson,K,2017,6,ARI,TAM,10/15/2017,201710150crd,H,,38,33,2.5,46.5,22,-5,retractable roof (closed),grass ,indoors,,,1,1,0,1,0,0,0,5,5,0,0,
29687,Nick Novak,K,2017,6,LAC,OAK,10/15/2017,201710150rai,A,,17,16,3,48.5,22.75,-1,outdoors,grass ,"76 degrees, wind 9 mph",76,9,1,2,0,0,1,0,0,2,2,0,0,
29688,Giorgio Tavecchio,K,2017,6,OAK,LAC,10/15/2017,201710150rai,H,,16,17,-3,48.5,25.75,1,outdoors,grass ,"76 degrees, wind 9 mph",76,9,1,1,0,0,0,1,0,1,2,0,0,
29689,Chris Boswell,K,2017,6,PIT,KAN,10/15/2017,201710150kan,A,,19,13,3.5,46,21.25,-6,outdoors,grass ,"60 degrees, wind 14 mph",60,14,1,1,0,1,0,0,0,2,2,0,0,
29690,Harrison Butker,K,2017,6,KAN,PIT,10/15/2017,201710150kan,H,,13,19,-3.5,46,24.75,6,outdoors,grass ,"60 degrees, wind 14 mph",60,14,2,2,0,0,1,1,0,1,1,0,0,
29691,Aldrick Rosas,K,2017,6,NYG,DEN,10/15/2017,201710150den,A,,23,10,13.5,37.5,12,-13,outdoors,grass ,"61 degrees, wind 4 mph",61,4,3,4,0,1,0,1,1,2,2,0,0,
29692,Brandon McManus,K,2017,6,DEN,NYG,10/15/2017,201710150den,H,,10,23,-13.5,37.5,25.5,13,outdoors,grass ,"61 degrees, wind 4 mph",61,4,1,3,0,1,0,0,0,1,1,0,0,
29693,Adam Vinatieri,K,2017,6,IND,TEN,10/16/2017,201710160oti,A,,22,36,7,46,19.5,14,outdoors,grass ,"57 degrees, wind 7 mph",57,7,3,3,0,1,1,0,1,1,2,0,0,
29694,Ryan Succop,K,2017,6,TEN,IND,10/16/2017,201710160oti,H,,36,22,-7,46,26.5,-14,outdoors,grass ,"57 degrees, wind 7 mph",57,7,5,5,0,1,1,3,0,3,3,0,0,
29695,Harrison Butker,K,2017,7,KAN,OAK,10/19/2017,201710190rai,A,,30,31,-3,46.5,24.75,1,outdoors,grass ,"62 degrees, wind 1 mph",62,1,3,3,0,0,2,0,1,3,3,0,0,
29696,Giorgio Tavecchio,K,2017,7,OAK,KAN,10/19/2017,201710190rai,H,,31,30,3,46.5,21.75,-1,outdoors,grass ,"62 degrees, wind 1 mph",62,1,1,3,0,1,0,0,0,4,4,0,0,
29697,Greg Zuerlein,K,2017,7,LAR,ARI,10/22/2017,201710220ram,H,,33,0,-3,45.5,24.25,-33,outdoors,grass,"54 degrees, wind 10 mph",54,10,4,4,0,1,2,0,1,3,3,0,0,
29698,Justin Tucker,K,2017,7,BAL,MIN,10/22/2017,201710220min,A,,16,24,5,37.5,16.25,8,dome,sportturf,indoors,,,3,3,0,0,0,2,1,1,1,0,0,
29699,Cody Parkey,K,2017,7,MIA,NYJ,10/22/2017,201710220mia,H,,31,28,-3,40,21.5,-3,outdoors,grass ,"86 degrees, wind 18 mph",86,18,1,1,0,0,1,0,0,4,4,0,0,
29700,Wil Lutz,K,2017,7,NOR,GNB,10/22/2017,201710220gnb,A,,26,17,-3.5,45.5,24.5,-9,outdoors,grass ,"52 degrees, wind 10 mph",52,10,2,2,0,1,0,1,0,2,3,0,0,
29701,Mason Crosby,K,2017,7,GNB,NOR,10/22/2017,201710220gnb,H,,17,26,3.5,45.5,21,9,outdoors,grass ,"52 degrees, wind 10 mph",52,10,1,2,0,0,0,1,0,2,2,0,0,
29702,Josh Lambo,K,2017,7,JAX,IND,10/22/2017,201710220clt,A,,27,0,-3,41,22,-27,retractable roof (closed),fieldturf ,indoors,,,2,2,0,0,1,1,0,3,3,0,0,
29703,Connor Barth,K,2017,7,CHI,CAR,10/22/2017,201710220chi,H,,17,3,2.5,39.5,18.5,-14,outdoors,grass ,"70 degrees, wind 15 mph",70,15,1,2,1,0,0,0,0,2,2,0,0,
29704,Patrick Murray,K,2017,7,TAM,BUF,10/22/2017,201710220buf,A,,27,30,3,46.5,21.75,3,outdoors,a_turf,"74 degrees, wind 9 mph",74,9,2,2,0,1,0,0,1,3,3,0,0,
29705,Stephen Hauschka,K,2017,7,BUF,TAM,10/22/2017,201710220buf,H,,30,27,-3,46.5,24.75,-3,outdoors,a_turf,"74 degrees, wind 9 mph",74,9,3,4,0,1,1,0,1,3,3,0,0,
29706,Robbie Gould,K,2017,7,SFO,DAL,10/22/2017,201710220sfo,H,,10,40,6.5,48,20.75,30,outdoors,grass,"68 degrees, wind 10 mph",68,10,1,1,0,0,0,1,0,1,1,0,0,
29707,Chris Boswell,K,2017,7,PIT,CIN,10/22/2017,201710220pit,H,,29,14,-4,40,22,-15,outdoors,grass ,"79 degrees, wind 6 mph",79,6,5,5,0,3,0,2,0,2,2,0,0,
29708,Blair Walsh,K,2017,7,SEA,NYG,10/22/2017,201710220nyg,A,,24,7,-4,39,21.5,-17,outdoors,fieldturf ,"75 degrees, wind 7 mph",75,7,1,1,0,0,1,0,0,3,3,0,0,
29709,Stephen Gostkowski,K,2017,7,NWE,ATL,10/22/2017,201710220nwe,H,,23,7,-3,56.5,29.75,-16,outdoors,fieldturf ,"56 degrees, wind 2 mph",56,2,3,3,0,2,1,0,0,2,2,0,0,
29710,Nick Rose,K,2017,7,WAS,PHI,10/23/2017,201710230phi,A,,24,34,5,48.5,21.75,10,outdoors,grass ,"70 degrees, wind 9 mph",70,9,1,1,0,1,0,0,0,3,3,0,0,
29711,Jake Elliott,K,2017,7,PHI,WAS,10/23/2017,201710230phi,H,,34,24,-5,48.5,26.75,-10,outdoors,grass ,"70 degrees, wind 9 mph",70,9,2,3,0,0,0,1,1,4,4,0,0,
29712,Justin Tucker,K,2017,8,BAL,MIA,10/26/2017,201710260rav,H,,40,0,-3,38,20.5,-40,outdoors,grass,"56 degrees, wind 9 mph",56,9,2,3,0,0,0,1,1,4,4,0,0,
29713,Kai Forbath,K,2017,8,MIN,CLE,10/29/2017,201710290cle,A,,33,16,-11,38.5,24.75,-17,outdoors,grass,"56 degrees, wind 11 mph",56,11,4,4,0,0,2,1,1,1,2,0,0,
29714,Zane Gonzalez,K,2017,8,CLE,MIN,10/29/2017,201710290cle,H,,16,33,11,38.5,13.75,17,outdoors,grass,"56 degrees, wind 11 mph",56,11,1,2,0,1,0,0,0,1,2,0,0,
29715,Graham Gano,K,2017,8,CAR,TAM,10/29/2017,201710290tam,A,,17,3,1.5,46,22.25,-14,outdoors,grass ,"63 degrees, wind 13 mph",63,13,1,1,0,1,0,0,0,2,2,0,0,
29716,Robbie Gould,K,2017,8,SFO,PHI,10/29/2017,201710290phi,A,,10,33,13,45,16,23,outdoors,grass ,"67 degrees, wind 12 mph",67,12,1,2,0,0,0,0,1,1,1,0,0,
29717,Jake Elliott,K,2017,8,PHI,SFO,10/29/2017,201710290phi,H,,33,10,-13,45,29,-23,outdoors,grass ,"67 degrees, wind 12 mph",67,12,2,2,0,0,0,1,1,1,3,0,0,
29718,Matt Bryant,K,2017,8,ATL,NYJ,10/29/2017,201710290nyj,A,,25,20,-6.5,43.5,25,-5,outdoors,fieldturf ,"63 degrees, wind 5 mph",63,5,4,4,0,2,1,1,0,1,1,0,0,
29719,Chandler Catanzaro,K,2017,8,NYJ,ATL,10/29/2017,201710290nyj,H,,20,25,6.5,43.5,18.5,5,outdoors,fieldturf ,"63 degrees, wind 5 mph",63,5,2,4,0,0,0,2,0,2,2,0,0,
29720,Stephen Gostkowski,K,2017,8,NWE,LAC,10/29/2017,201710290nwe,H,,21,13,-6.5,49,27.75,-8,outdoors,fieldturf ,"62 degrees, wind 8 mph",62,8,4,6,0,2,1,1,0,1,1,0,0,
29721,Wil Lutz,K,2017,8,NOR,CHI,10/29/2017,201710290nor,H,,20,12,-7.5,46,26.75,-8,dome,sportturf,indoors,,,2,2,0,0,0,2,0,2,2,0,0,
29722,Adam Vinatieri,K,2017,8,IND,CIN,10/29/2017,201710290cin,A,,23,24,11,44,16.5,1,outdoors,fieldturf ,"39 degrees, wind 9 mph",39,9,3,3,0,2,1,0,0,2,2,0,0,
29723,Randy Bullock,K,2017,8,CIN,IND,10/29/2017,201710290cin,H,,24,23,-11,44,27.5,-1,outdoors,fieldturf ,"39 degrees, wind 9 mph",39,9,1,2,0,1,0,0,0,3,3,0,0,
29724,Stephen Hauschka,K,2017,8,BUF,OAK,10/29/2017,201710290buf,H,,34,14,-2,47,24.5,-20,outdoors,a_turf,"42 degrees, wind 7 mph",42,7,2,2,0,0,1,1,0,4,4,0,0,
29725,Ka'imi Fairbairn,K,2017,8,HOU,SEA,10/29/2017,201710290sea,A,,38,41,6,45,19.5,3,outdoors,fieldturf ,"50 degrees, wind 2 mph",50,2,1,1,0,0,1,0,0,5,5,0,0,
29726,Blair Walsh,K,2017,8,SEA,HOU,10/29/2017,201710290sea,H,,41,38,-6,45,25.5,-3,outdoors,fieldturf ,"50 degrees, wind 2 mph",50,2,2,2,0,2,0,0,0,5,5,0,0,
29727,Mike Nugent,K,2017,8,DAL,WAS,10/29/2017,201710290was,A,,33,19,-3,46.5,24.75,-14,outdoors,grass ,"60 degrees, wind 4 mph",60,4,4,5,0,1,2,1,0,3,3,0,0,
29728,Nick Rose,K,2017,8,WAS,DAL,10/29/2017,201710290was,H,,19,33,3,46.5,21.75,14,outdoors,grass ,"60 degrees, wind 4 mph",60,4,2,3,0,0,1,1,0,1,2,0,0,
29729,Chris Boswell,K,2017,8,PIT,DET,10/29/2017,201710290det,A,,20,15,-3,44.5,23.75,-5,dome,fieldturf ,indoors,,,2,2,0,0,2,0,0,2,2,0,0,
29730,Brandon McManus,K,2017,8,DEN,KAN,10/30/2017,201710300kan,A,,19,29,7,42,17.5,10,outdoors,grass ,"44 degrees, wind 12 mph",44,12,2,2,0,1,1,0,0,1,1,0,0,
29731,Harrison Butker,K,2017,8,KAN,DEN,10/30/2017,201710300kan,H,,29,19,-7,42,24.5,-10,outdoors,grass ,"44 degrees, wind 12 mph",44,12,5,5,0,1,1,2,1,2,2,0,0,
29732,Chandler Catanzaro,K,2017,9,NYJ,BUF,11/2/2017,201711020nyj,H,,34,21,3,42,19.5,-13,outdoors,fieldturf ,"68 degrees, wind 11 mph",68,11,2,2,0,0,1,1,0,4,4,0,0,
29733,Brandon McManus,K,2017,9,DEN,PHI,11/5/2017,201711050phi,A,,23,51,7,41,17,28,outdoors,grass ,"61 degrees, wind 5 mph",61,5,3,3,0,1,0,0,2,2,2,0,0,
29734,Jake Elliott,K,2017,9,PHI,DEN,11/5/2017,201711050phi,H,,51,23,-7,41,24,-28,outdoors,grass ,"61 degrees, wind 5 mph",61,5,1,1,0,0,0,1,0,6,7,0,0,
29735,Justin Tucker,K,2017,9,BAL,TEN,11/5/2017,201711050oti,A,,20,23,3,41,19,3,outdoors,grass ,"75 degrees, wind 10 mph",75,10,2,2,0,0,1,1,0,2,2,0,0,
29736,Ryan Succop,K,2017,9,TEN,BAL,11/5/2017,201711050oti,H,,23,20,-3,41,22,-3,outdoors,grass ,"75 degrees, wind 10 mph",75,10,1,1,0,0,0,1,0,2,3,0,0,
29737,Greg Zuerlein,K,2017,9,LAR,NYG,11/5/2017,201711050nyg,A,,51,17,-5.5,42.5,24,-34,outdoors,fieldturf ,"56 degrees, wind 6 mph",56,6,3,3,0,1,0,2,0,6,6,0,0,
29738,Aldrick Rosas,K,2017,9,NYG,LAR,11/5/2017,201711050nyg,H,,17,51,5.5,42.5,18.5,34,outdoors,fieldturf ,"56 degrees, wind 6 mph",56,6,1,2,0,0,0,0,1,2,2,0,0,
29739,Patrick Murray,K,2017,9,TAM,NOR,11/5/2017,201711050nor,A,,10,30,7,54,23.5,20,dome,sportturf,indoors,,,1,2,0,0,0,0,1,1,1,0,0,
29740,Wil Lutz,K,2017,9,NOR,TAM,11/5/2017,201711050nor,H,,30,10,-7,54,30.5,-20,dome,sportturf,indoors,,,1,2,0,0,0,1,0,3,4,0,0,
29741,Josh Lambo,K,2017,9,JAX,CIN,11/5/2017,201711050jax,H,,23,7,-6,38,22,-16,outdoors,grass ,"78 degrees, wind 12 mph",78,12,3,3,0,1,1,0,1,2,2,0,0,
29742,Adam Vinatieri,K,2017,9,IND,HOU,11/5/2017,201711050htx,A,,20,14,6,45,19.5,-6,retractable roof (closed),astroturf,indoors,,,2,2,0,1,0,0,1,2,2,0,0,
29743,Matt Bryant,K,2017,9,ATL,CAR,11/5/2017,201711050car,A,,17,20,-3,42,22.5,3,outdoors,grass ,"61 degrees, wind 4 mph",61,4,1,1,0,0,0,0,1,2,2,0,0,
29744,Graham Gano,K,2017,9,CAR,ATL,11/5/2017,201711050car,H,,20,17,3,42,19.5,-3,outdoors,grass ,"61 degrees, wind 4 mph",61,4,2,2,0,0,1,1,0,2,2,0,0,
29745,Phil Dawson,K,2017,9,ARI,SFO,11/5/2017,201711050sfo,A,,20,10,-2.5,39,20.75,-10,outdoors,grass,"61 degrees, wind 8 mph",61,8,2,3,0,1,1,0,0,2,2,0,0,
29746,Robbie Gould,K,2017,9,SFO,ARI,11/5/2017,201711050sfo,H,,10,20,2.5,39,18.25,10,outdoors,grass,"61 degrees, wind 8 mph",61,8,1,1,0,0,0,1,0,1,1,0,0,
29747,Nick Rose,K,2017,9,WAS,SEA,11/5/2017,201711050sea,A,,17,14,8,44.5,18.25,-3,outdoors,fieldturf ,"36 degrees, wind 11 mph",36,11,1,1,0,1,0,0,0,2,2,0,0,
29748,Harrison Butker,K,2017,9,KAN,DAL,11/5/2017,201711050dal,A,,17,28,2.5,53,25.25,11,retractable roof (closed),matrixturf,indoors,,,1,1,0,0,1,0,0,2,2,0,0,
29749,Giorgio Tavecchio,K,2017,9,OAK,MIA,11/5/2017,201711050mia,A,,27,24,-3,44.5,23.75,-3,outdoors,grass ,"77 degrees, wind 2 mph",77,2,2,2,0,0,1,0,1,3,3,0,0,
29750,Cody Parkey,K,2017,9,MIA,OAK,11/5/2017,201711050mia,H,,24,27,3,44.5,20.75,3,outdoors,grass ,"77 degrees, wind 2 mph",77,2,1,1,0,0,0,1,0,1,2,0,0,
29751,Matt Prater,K,2017,9,DET,GNB,11/6/2017,201711060gnb,A,,30,17,-2.5,42.5,22.5,-13,outdoors,grass ,"35 degrees, wind 3 mph",35,3,3,4,1,0,1,1,0,3,3,0,0,
29752,Mason Crosby,K,2017,9,GNB,DET,11/6/2017,201711060gnb,H,,17,30,2.5,42.5,20,13,outdoors,grass ,"35 degrees, wind 3 mph",35,3,1,2,0,0,1,0,0,2,2,0,0,
29753,Blair Walsh,K,2017,10,SEA,ARI,11/9/2017,201711090crd,A,,22,16,-6,40,23,-6,retractable roof (open),grass ,indoors,,,2,2,0,0,1,1,0,2,2,0,0,
29754,Phil Dawson,K,2017,10,ARI,SEA,11/9/2017,201711090crd,H,,16,22,6,40,17,6,retractable roof (open),grass ,indoors,,,1,1,0,0,0,1,0,1,2,0,0,
29755,Chandler Catanzaro,K,2017,10,NYJ,TAM,11/12/2017,201711120tam,A,,10,15,1,44.5,21.75,5,outdoors,grass ,"79 degrees, wind 16 mph",79,16,1,1,0,0,0,1,0,1,1,0,0,
29756,Ryan Succop,K,2017,10,TEN,CIN,11/12/2017,201711120oti,H,,24,20,-4.5,40.5,22.5,-4,outdoors,grass ,"53 degrees, wind 4 mph",53,4,1,2,0,0,0,1,0,3,3,0,0,
29757,Nick Novak,K,2017,10,LAC,JAX,11/12/2017,201711120jax,A,OT,17,20,5,40.5,17.75,3,outdoors,grass ,"76 degrees, wind 5 mph",76,5,1,1,0,0,0,0,1,2,2,0,0,
29758,Zane Gonzalez,K,2017,10,CLE,DET,11/12/2017,201711120det,A,,24,38,10.5,42.5,16,14,dome,fieldturf ,indoors,,,1,1,0,1,0,0,0,3,3,0,0,
29759,Matt Prater,K,2017,10,DET,CLE,11/12/2017,201711120det,H,,38,24,-10.5,42.5,26.5,-14,dome,fieldturf ,indoors,,,1,1,0,0,0,1,0,5,5,0,0,
29760,Adam Vinatieri,K,2017,10,IND,PIT,11/12/2017,201711120clt,H,,17,20,10.5,47,18.25,3,retractable roof (closed),fieldturf ,indoors,,,1,1,0,0,0,1,0,2,2,0,0,
29761,Mason Crosby,K,2017,10,GNB,CHI,11/12/2017,201711120chi,A,,23,16,4.5,37.5,16.5,-7,outdoors,grass ,"40 degrees, wind 6 mph",40,6,3,4,0,1,0,1,1,2,2,0,0,
29762,Connor Barth,K,2017,10,CHI,GNB,11/12/2017,201711120chi,H,,16,23,-4.5,37.5,21,7,outdoors,grass ,"40 degrees, wind 6 mph",40,6,3,3,0,0,0,3,0,1,1,0,0,
29763,Wil Lutz,K,2017,10,NOR,BUF,11/12/2017,201711120buf,A,,47,10,-2,48.5,25.25,-37,outdoors,a_turf,"42 degrees, wind 2 mph",42,2,2,2,0,1,0,0,1,5,6,0,0,
29764,Stephen Hauschka,K,2017,10,BUF,NOR,11/12/2017,201711120buf,H,,10,47,2,48.5,23.25,37,outdoors,a_turf,"42 degrees, wind 2 mph",42,2,1,1,0,0,1,0,0,1,1,0,0,
29765,Kai Forbath,K,2017,10,MIN,WAS,11/12/2017,201711120was,A,,38,30,-1,43,22,-8,outdoors,grass ,"44 degrees, wind 4 mph",44,4,1,1,0,0,0,0,1,5,5,0,0,
29766,Nick Rose,K,2017,10,WAS,MIN,11/12/2017,201711120was,H,,30,38,1,43,21,8,outdoors,grass ,"44 degrees, wind 4 mph",44,4,3,3,0,2,0,0,1,3,3,0,0,
29767,Greg Zuerlein,K,2017,10,LAR,HOU,11/12/2017,201711120ram,H,,33,7,-12,45,28.5,-26,outdoors,grass,"68 degrees, no wind",68,0,4,4,0,1,2,0,1,3,3,0,0,
29768,Aldrick Rosas,K,2017,10,NYG,SFO,11/12/2017,201711120sfo,A,,21,31,-3,41.5,22.25,10,outdoors,grass,"68 degrees, wind 5 mph",68,5,2,3,0,0,0,2,0,1,1,0,0,
29769,Robbie Gould,K,2017,10,SFO,NYG,11/12/2017,201711120sfo,H,,31,21,3,41.5,19.25,-10,outdoors,grass,"68 degrees, wind 5 mph",68,5,1,1,0,0,0,1,0,4,4,0,0,
29770,Matt Bryant,K,2017,10,ATL,DAL,11/12/2017,201711120atl,H,,27,7,-3.5,49,26.25,-20,dome,fieldturf,indoors,,,2,2,0,1,0,0,1,3,3,0,0,
29771,Stephen Gostkowski,K,2017,10,NWE,DEN,11/12/2017,201711120den,A,,41,16,-7,45,26,-25,outdoors,grass ,"48 degrees, wind 5 mph",48,5,2,2,0,2,0,0,0,5,5,0,0,
29772,Brandon McManus,K,2017,10,DEN,NWE,11/12/2017,201711120den,H,,16,41,7,45,19,25,outdoors,grass ,"48 degrees, wind 5 mph",48,5,3,3,0,0,3,0,0,1,1,0,0,
29773,Graham Gano,K,2017,10,CAR,MIA,11/13/2017,201711130car,H,,45,21,-8,38.5,23.25,-24,outdoors,grass ,"49 degrees, wind 6 mph",49,6,1,1,0,0,0,1,0,6,6,0,0,
29774,Ryan Succop,K,2017,11,TEN,PIT,11/16/2017,201711160pit,A,,17,40,7,44.5,18.75,23,outdoors,grass ,"40 degrees, wind 17 mph",40,17,1,2,0,0,0,1,0,2,2,0,0,
29775,Chris Boswell,K,2017,11,PIT,TEN,11/16/2017,201711160pit,H,,40,17,-7,44.5,25.75,-23,outdoors,grass ,"40 degrees, wind 17 mph",40,17,4,4,0,2,0,1,1,4,4,0,0,
29776,Nick Rose,K,2017,11,WAS,NOR,11/19/2017,201711190nor,A,OT,31,34,9.5,52.5,21.5,3,dome,sportturf,indoors,,,1,1,0,0,1,0,0,4,4,0,0,
29777,Wil Lutz,K,2017,11,NOR,WAS,11/19/2017,201711190nor,H,OT,34,31,-9.5,52.5,31,-3,dome,sportturf,indoors,,,4,4,0,2,0,1,1,2,2,0,0,
29778,Kai Forbath,K,2017,11,MIN,LAR,11/19/2017,201711190min,H,,24,7,-1,46,23.5,-17,dome,sportturf,indoors,,,1,3,0,0,1,0,0,3,3,0,0,
29779,Patrick Murray,K,2017,11,TAM,MIA,11/19/2017,201711190mia,A,,30,20,-1,44,22.5,-10,outdoors,grass ,"81 degrees, wind 9 mph",81,9,3,4,0,0,3,0,0,3,3,0,0,
29780,Cody Parkey,K,2017,11,MIA,TAM,11/19/2017,201711190mia,H,,20,30,1,44,21.5,10,outdoors,grass ,"81 degrees, wind 9 mph",81,9,2,2,0,1,1,0,0,2,2,0,0,
29781,Ka'imi Fairbairn,K,2017,11,HOU,ARI,11/19/2017,201711190htx,H,,31,21,-2.5,38,20.25,-10,retractable roof (closed),astroturf,indoors,,,1,1,0,0,1,0,0,4,4,0,0,
29782,Justin Tucker,K,2017,11,BAL,GNB,11/19/2017,201711190gnb,A,,23,0,-2.5,38.5,20.5,-23,outdoors,grass ,"28 degrees, wind 14 mph",28,14,3,3,0,1,2,0,0,2,2,0,0,
29783,Josh Lambo,K,2017,11,JAX,CLE,11/19/2017,201711190cle,A,,19,7,-7.5,37,22.25,-12,outdoors,grass ,"38 degrees, wind 16 mph",38,16,2,3,0,0,2,0,0,1,1,0,0,
29784,Matt Prater,K,2017,11,DET,CHI,11/19/2017,201711190chi,A,,27,24,-3,41,22,-3,outdoors,grass ,"33 degrees, wind 16 mph",33,16,2,2,0,1,0,0,1,3,3,0,0,
29785,Connor Barth,K,2017,11,CHI,DET,11/19/2017,201711190chi,H,,24,27,3,41,19,3,outdoors,grass ,"33 degrees, wind 16 mph",33,16,1,2,0,1,0,0,0,3,3,0,0,
29786,Stephen Hauschka,K,2017,11,BUF,LAC,11/19/2017,201711190sdg,A,,24,54,7,41.5,17.25,30,outdoors,grass,"76 degrees, wind 6 mph",76,6,1,1,0,0,0,0,1,3,3,0,0,
29787,Nick Novak,K,2017,11,LAC,BUF,11/19/2017,201711190sdg,H,,54,24,-7,41.5,24.25,-30,outdoors,grass,"76 degrees, wind 6 mph",76,6,4,5,0,2,2,0,0,6,6,0,0,
29788,Stephen Gostkowski,K,2017,11,NWE,OAK,11/19/2017,201711190rai,A,,33,8,-7,55,31,-25,outdoors,grass,"66 degrees, no wind",66,0,4,4,0,1,0,1,2,3,3,0,0,
29789,Brandon McManus,K,2017,11,DEN,CIN,11/19/2017,201711190den,H,,17,20,-2.5,37.5,20,3,outdoors,grass ,"60 degrees, wind 7 mph",60,7,1,2,0,0,0,1,0,2,2,0,0,
29790,Matt Bryant,K,2017,11,ATL,SEA,11/20/2017,201711200sea,A,,34,31,-1,46,23.5,-3,outdoors,fieldturf ,"45 degrees, wind 6 mph",45,6,2,2,1,0,0,1,0,4,4,0,0,
29791,Blair Walsh,K,2017,11,SEA,ATL,11/20/2017,201711200sea,H,,31,34,1,46,22.5,3,outdoors,fieldturf ,"45 degrees, wind 6 mph",45,6,3,4,0,0,2,1,0,2,2,0,0,
29792,Kai Forbath,K,2017,12,MIN,DET,11/23/2017,201711230det,A,,30,23,-2.5,46,24.25,-7,dome,fieldturf ,indoors,,,1,2,0,0,1,0,0,3,4,0,0,
29793,Matt Prater,K,2017,12,DET,MIN,11/23/2017,201711230det,H,,23,30,2.5,46,21.75,7,dome,fieldturf ,indoors,,,3,3,0,0,2,0,1,2,2,0,0,
29794,Aldrick Rosas,K,2017,12,NYG,WAS,11/23/2017,201711230was,A,,10,20,7,44,18.5,10,outdoors,grass ,"33 degrees, no wind",33,0,1,1,0,0,1,0,0,1,1,0,0,
29795,Nick Rose,K,2017,12,WAS,NYG,11/23/2017,201711230was,H,,20,10,-7,44,25.5,-10,outdoors,grass ,"33 degrees, no wind",33,0,2,2,0,1,1,0,0,2,2,0,0,
29796,Jake Elliott,K,2017,12,PHI,CHI,11/26/2017,201711260phi,H,,31,3,-14,43.5,28.75,-28,outdoors,grass ,"49 degrees, wind 17 mph",49,17,1,1,0,0,0,1,0,4,4,0,0,
29797,Chandler Catanzaro,K,2017,12,NYJ,CAR,11/26/2017,201711260nyj,H,,27,35,5.5,39.5,17,8,outdoors,fieldturf ,"47 degrees, wind 23 mph",47,23,2,2,1,0,1,0,0,3,3,0,0,
29798,Cody Parkey,K,2017,12,MIA,NWE,11/26/2017,201711260nwe,A,,17,35,17,49,16,18,outdoors,fieldturf ,"47 degrees, wind 17 mph",47,17,1,1,0,1,0,0,0,2,2,0,0,
29799,Stephen Hauschka,K,2017,12,BUF,KAN,11/26/2017,201711260kan,A,,16,10,8.5,47,19.25,-6,outdoors,grass ,"62 degrees, wind 9 mph",62,9,3,4,0,0,1,1,1,1,1,0,0,
29800,Harrison Butker,K,2017,12,KAN,BUF,11/26/2017,201711260kan,H,,10,16,-8.5,47,27.75,6,outdoors,grass ,"62 degrees, wind 9 mph",62,9,1,1,0,0,0,1,0,1,1,0,0,
29801,Ryan Succop,K,2017,12,TEN,IND,11/26/2017,201711260clt,A,,20,16,-3,46.5,24.75,-4,retractable roof (open),fieldturf ,indoors,,,2,2,0,1,0,1,0,2,2,0,0,
29802,Adam Vinatieri,K,2017,12,IND,TEN,11/26/2017,201711260clt,H,,16,20,3,46.5,21.75,4,retractable roof (open),fieldturf ,indoors,,,3,3,0,2,0,1,0,1,1,0,0,
29803,Zane Gonzalez,K,2017,12,CLE,CIN,11/26/2017,201711260cin,A,,16,30,7.5,39,15.75,14,outdoors,fieldturf ,"46 degrees, wind 3 mph",46,3,3,4,0,2,1,0,0,1,1,1,16,16
29804,Randy Bullock,K,2017,12,CIN,CLE,11/26/2017,201711260cin,H,,30,16,-7.5,39,23.25,-14,outdoors,fieldturf ,"46 degrees, wind 3 mph",46,3,3,3,0,1,1,1,0,3,3,0,0,
29805,Patrick Murray,K,2017,12,TAM,ATL,11/26/2017,201711260atl,A,,20,34,10.5,47,18.25,14,dome,fieldturf,indoors,,,2,2,0,1,1,0,0,2,2,0,0,
29806,Matt Bryant,K,2017,12,ATL,TAM,11/26/2017,201711260atl,H,,34,20,-10.5,47,28.75,-14,dome,fieldturf,indoors,,,2,2,0,0,1,1,0,4,4,0,0,
